AGE_ADJUSTED_CI_LOWER|AGE_ADJUSTED_CI_UPPER|AGE_ADJUSTED_RATE|COUNT|ICCC_GROUP|POPULATION|AGE|RACE|SEX|YEAR|CRUDE_CI_LOWER|CRUDE_CI_UPPER|CRUDE_RATE
142.3|148.5|145.4|8499|All ICCC Groups Combined|58588724|0-14|All Races|Male and Female|1999|||
43.6|47.1|45.3|2651|I Leukemias, myeloproliferative & myelodysplastic diseases|58588724|0-14|All Races|Male and Female|1999|||
34.0|37.1|35.5|2081|I(a) Lymphoid leukemias|58588724|0-14|All Races|Male and Female|1999|||
6.9|8.3|7.6|441|I(b) Acute myeloid leukemias|58588724|0-14|All Races|Male and Female|1999|||
0.4|0.9|0.6|36|I(c) Chronic myeloproliferative diseases|58588724|0-14|All Races|Male and Female|1999|||
~|~|~|~|I(d) Myelodysplastic syndrome and other myeloproliferative diseases|58588724|0-14|All Races|Male and Female|1999|||
1.1|1.7|1.4|82|I(e) Unspecified and other specified leukemias|58588724|0-14|All Races|Male and Female|1999|||
14.3|16.3|15.3|896|II Lymphomas and reticuloendothelial neoplasms|58588724|0-14|All Races|Male and Female|1999|||
4.9|6.1|5.5|319|II(a) Hodgkin lymphomas|58588724|0-14|All Races|Male and Female|1999|||
5.4|6.6|6.0|349|II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma)|58588724|0-14|All Races|Male and Female|1999|||
2.1|3.0|2.5|148|II(c) Burkitt lymphoma|58588724|0-14|All Races|Male and Female|1999|||
0.7|1.2|0.9|52|II(d) Miscellaneous lymphoreticular neoplasms|58588724|0-14|All Races|Male and Female|1999|||
0.3|0.7|0.5|28|II(e) Unspecified lymphomas|58588724|0-14|All Races|Male and Female|1999|||
30.2|33.1|31.6|1853|III CNS and misc intracranial and intraspinal neoplasms|58588724|0-14|All Races|Male and Female|1999|||
2.6|3.5|3.0|174|III(a) Ependymomas and choroid plexus tumor|58588724|0-14|All Races|Male and Female|1999|||
13.5|15.4|14.4|846|III(b) Astrocytomas|58588724|0-14|All Races|Male and Female|1999|||
7.1|8.6|7.8|460|III(c) Intracranial and intraspinal embryonal tumors|58588724|0-14|All Races|Male and Female|1999|||
4.6|5.8|5.1|302|III(d) Other gliomas|58588724|0-14|All Races|Male and Female|1999|||
0.3|0.7|0.5|30|III(e) Other specified intracranial & intraspinal neoplasms|58588724|0-14|All Races|Male and Female|1999|||
0.5|1.0|0.7|41|III(f) Unspecified intracranial and intraspinal neoplasms|58588724|0-14|All Races|Male and Female|1999|||
9.8|11.5|10.6|617|IV Neuroblastoma and other peripheral nervous cell tumors|58588724|0-14|All Races|Male and Female|1999|||
9.6|11.3|10.4|607|IV(a) Neuroblastoma and ganglioneuroblastoma|58588724|0-14|All Races|Male and Female|1999|||
~|~|~|~|IV(b) Other peripheral nervous cell tumors|58588724|0-14|All Races|Male and Female|1999|||
8.7|10.3|9.5|554|IX Soft tissue and other extraosseous sarcomas|58588724|0-14|All Races|Male and Female|1999|||
4.4|5.5|4.9|289|IX(a) Rhabdomyosarcomas|58588724|0-14|All Races|Male and Female|1999|||
0.7|1.2|0.9|55|IX(b) Fibrosarcomas, peripheral nerve sheath tumors & other fibrous neoplams|58588724|0-14|All Races|Male and Female|1999|||
~|~|~|~|IX(c) Kaposi sarcoma|58588724|0-14|All Races|Male and Female|1999|||
2.3|3.1|2.7|156|IX(d) Other specified soft tissue sarcomas|58588724|0-14|All Races|Male and Female|1999|||
0.7|1.2|0.9|53|IX(e) Unspecified soft tissue sarcomas|58588724|0-14|All Races|Male and Female|1999|||
0.2|0.4|0.3|16|Not classified by ICCC|58588724|0-14|All Races|Male and Female|1999|||
3.7|4.8|4.2|244|V Retinoblastoma|58588724|0-14|All Races|Male and Female|1999|||
7.3|8.8|8.0|467|VI Renal tumors|58588724|0-14|All Races|Male and Female|1999|||
6.9|8.3|7.6|442|VI(a) Nephroblastoma and other nonepithelial renal tumors|58588724|0-14|All Races|Male and Female|1999|||
0.2|0.6|0.4|22|VI(b) Renal carcinomas|58588724|0-14|All Races|Male and Female|1999|||
~|~|~|~|VI(c) Unspecified malignant renal tumors|58588724|0-14|All Races|Male and Female|1999|||
1.8|2.5|2.1|123|VII Hepatic tumors|58588724|0-14|All Races|Male and Female|1999|||
1.4|2.1|1.7|101|VII(a) Hepatoblastoma|58588724|0-14|All Races|Male and Female|1999|||
0.2|0.6|0.4|22|VII(b) Hepatic carcinomas|58588724|0-14|All Races|Male and Female|1999|||
~|~|~|~|VII(c) Unspecified malignant hepatic tumors|58588724|0-14|All Races|Male and Female|1999|||
6.5|7.9|7.2|420|VIII Malignant bone tumors|58588724|0-14|All Races|Male and Female|1999|||
3.7|4.8|4.2|246|VIII(a) Osteosarcomas|58588724|0-14|All Races|Male and Female|1999|||
~|~|~|~|VIII(b) Chondrosarcomas|58588724|0-14|All Races|Male and Female|1999|||
2.0|2.8|2.3|137|VIII(c) Ewing tumor and related sarcomas of bone|58588724|0-14|All Races|Male and Female|1999|||
0.2|0.5|0.3|19|VIII(d) Other specified malignant bone tumors|58588724|0-14|All Races|Male and Female|1999|||
~|~|~|~|VIII(e) Unspecified malignant bone tumors|58588724|0-14|All Races|Male and Female|1999|||
4.4|5.6|5.0|289|X Germ cell, trophoblastic tumors & neoplasms of gonads|58588724|0-14|All Races|Male and Female|1999|||
1.0|1.6|1.3|75|X(a) Intracranial & intraspinal germ cell tumors|58588724|0-14|All Races|Male and Female|1999|||
1.1|1.7|1.3|78|X(b) Malignant extracranial & extragonadal germ cell tumors|58588724|0-14|All Races|Male and Female|1999|||
1.8|2.5|2.1|124|X(c) Malignant gonadal germ cell tumors|58588724|0-14|All Races|Male and Female|1999|||
~|~|~|~|X(d) Gonadal carcinomas|58588724|0-14|All Races|Male and Female|1999|||
~|~|~|~|X(e) Other and unspecified malignant gonadal tumors|58588724|0-14|All Races|Male and Female|1999|||
5.2|6.5|5.8|339|XI Other malignant epithelial neoplasms and malignant melanomas|58588724|0-14|All Races|Male and Female|1999|||
~|~|~|~|XI(a) Adrenocortical carcinomas|58588724|0-14|All Races|Male and Female|1999|||
1.5|2.2|1.9|109|XI(b) Thyroid carcinomas|58588724|0-14|All Races|Male and Female|1999|||
0.2|0.6|0.4|22|XI(c) Nasopharyngeal carcinomas|58588724|0-14|All Races|Male and Female|1999|||
1.4|2.1|1.8|102|XI(d) Malignant melanomas|58588724|0-14|All Races|Male and Female|1999|||
~|~|~|~|XI(e) Skin carcinomas|58588724|0-14|All Races|Male and Female|1999|||
1.2|1.9|1.5|89|XI(f) Other and unspecified carcinomas|58588724|0-14|All Races|Male and Female|1999|||
0.3|0.7|0.5|30|XII Other and unspecified malignant neoplasms|58588724|0-14|All Races|Male and Female|1999|||
~|~|~|~|XII(a) Other specified malignant tumors|58588724|0-14|All Races|Male and Female|1999|||
0.2|0.5|0.3|19|XII(b) Other unspecified malignant tumors|58588724|0-14|All Races|Male and Female|1999|||
146.8|153.0|149.9|8809|All ICCC Groups Combined|58914904|0-14|All Races|Male and Female|2000|||
44.2|47.7|46.0|2696|I Leukemias, myeloproliferative & myelodysplastic diseases|58914904|0-14|All Races|Male and Female|2000|||
35.5|38.7|37.1|2174|I(a) Lymphoid leukemias|58914904|0-14|All Races|Male and Female|2000|||
5.9|7.3|6.6|386|I(b) Acute myeloid leukemias|58914904|0-14|All Races|Male and Female|2000|||
0.6|1.0|0.8|46|I(c) Chronic myeloproliferative diseases|58914904|0-14|All Races|Male and Female|2000|||
~|~|~|~|I(d) Myelodysplastic syndrome and other myeloproliferative diseases|58914904|0-14|All Races|Male and Female|2000|||
1.1|1.7|1.4|81|I(e) Unspecified and other specified leukemias|58914904|0-14|All Races|Male and Female|2000|||
15.5|17.6|16.5|975|II Lymphomas and reticuloendothelial neoplasms|58914904|0-14|All Races|Male and Female|2000|||
5.2|6.5|5.8|344|II(a) Hodgkin lymphomas|58914904|0-14|All Races|Male and Female|2000|||
5.4|6.6|6.0|353|II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma)|58914904|0-14|All Races|Male and Female|2000|||
2.4|3.3|2.8|166|II(c) Burkitt lymphoma|58914904|0-14|All Races|Male and Female|2000|||
1.0|1.6|1.3|75|II(d) Miscellaneous lymphoreticular neoplasms|58914904|0-14|All Races|Male and Female|2000|||
0.4|0.9|0.6|37|II(e) Unspecified lymphomas|58914904|0-14|All Races|Male and Female|2000|||
31.8|34.7|33.2|1956|III CNS and misc intracranial and intraspinal neoplasms|58914904|0-14|All Races|Male and Female|2000|||
2.3|3.1|2.7|158|III(a) Ependymomas and choroid plexus tumor|58914904|0-14|All Races|Male and Female|2000|||
16.1|18.3|17.2|1011|III(b) Astrocytomas|58914904|0-14|All Races|Male and Female|2000|||
6.9|8.3|7.6|445|III(c) Intracranial and intraspinal embryonal tumors|58914904|0-14|All Races|Male and Female|2000|||
4.1|5.2|4.7|274|III(d) Other gliomas|58914904|0-14|All Races|Male and Female|2000|||
0.3|0.7|0.5|27|III(e) Other specified intracranial & intraspinal neoplasms|58914904|0-14|All Races|Male and Female|2000|||
0.5|0.9|0.7|41|III(f) Unspecified intracranial and intraspinal neoplasms|58914904|0-14|All Races|Male and Female|2000|||
9.2|10.9|10.0|587|IV Neuroblastoma and other peripheral nervous cell tumors|58914904|0-14|All Races|Male and Female|2000|||
9.1|10.8|9.9|580|IV(a) Neuroblastoma and ganglioneuroblastoma|58914904|0-14|All Races|Male and Female|2000|||
~|~|~|~|IV(b) Other peripheral nervous cell tumors|58914904|0-14|All Races|Male and Female|2000|||
9.6|11.3|10.4|615|IX Soft tissue and other extraosseous sarcomas|58914904|0-14|All Races|Male and Female|2000|||
4.7|5.9|5.3|309|IX(a) Rhabdomyosarcomas|58914904|0-14|All Races|Male and Female|2000|||
0.7|1.2|1.0|56|IX(b) Fibrosarcomas, peripheral nerve sheath tumors & other fibrous neoplams|58914904|0-14|All Races|Male and Female|2000|||
~|~|~|~|IX(c) Kaposi sarcoma|58914904|0-14|All Races|Male and Female|2000|||
2.7|3.7|3.2|188|IX(d) Other specified soft tissue sarcomas|58914904|0-14|All Races|Male and Female|2000|||
0.8|1.3|1.0|61|IX(e) Unspecified soft tissue sarcomas|58914904|0-14|All Races|Male and Female|2000|||
~|~|~|~|Not classified by ICCC|58914904|0-14|All Races|Male and Female|2000|||
3.9|5.0|4.4|256|V Retinoblastoma|58914904|0-14|All Races|Male and Female|2000|||
8.1|9.6|8.8|515|VI Renal tumors|58914904|0-14|All Races|Male and Female|2000|||
7.7|9.2|8.4|492|VI(a) Nephroblastoma and other nonepithelial renal tumors|58914904|0-14|All Races|Male and Female|2000|||
0.2|0.6|0.4|22|VI(b) Renal carcinomas|58914904|0-14|All Races|Male and Female|2000|||
~|~|~|~|VI(c) Unspecified malignant renal tumors|58914904|0-14|All Races|Male and Female|2000|||
1.8|2.6|2.2|129|VII Hepatic tumors|58914904|0-14|All Races|Male and Female|2000|||
1.6|2.3|1.9|113|VII(a) Hepatoblastoma|58914904|0-14|All Races|Male and Female|2000|||
~|~|~|~|VII(b) Hepatic carcinomas|58914904|0-14|All Races|Male and Female|2000|||
~|~|~|~|VII(c) Unspecified malignant hepatic tumors|58914904|0-14|All Races|Male and Female|2000|||
5.9|7.2|6.6|388|VIII Malignant bone tumors|58914904|0-14|All Races|Male and Female|2000|||
3.1|4.1|3.6|211|VIII(a) Osteosarcomas|58914904|0-14|All Races|Male and Female|2000|||
~|~|~|~|VIII(b) Chondrosarcomas|58914904|0-14|All Races|Male and Female|2000|||
2.3|3.1|2.7|157|VIII(c) Ewing tumor and related sarcomas of bone|58914904|0-14|All Races|Male and Female|2000|||
~|~|~|~|VIII(d) Other specified malignant bone tumors|58914904|0-14|All Races|Male and Female|2000|||
~|~|~|~|VIII(e) Unspecified malignant bone tumors|58914904|0-14|All Races|Male and Female|2000|||
